"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2021-09-29","89.9","1.66","5.83","Lowther, Zac",646240,675912,"single","hit_into_play",,,,,"3","Rafael Devers singles on a line drive to left fielder Ryan McKenna.","R","L","L","BAL","BOS","X","7","line_drive","2","2",2021,"1.29","1.17","0.43","3.13",,,,"0","6","Top",83.2,111.34,,,"600474",,,-5.858132676777797,-130.67668023750662,-3.158197473418441,15.983708027120546,30.281655535471216,-18.33170629748841,"3.37","1.53","150","80.3","11","90.6","2403","7",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.49","0.466","0.425","0.9","1","1","0","4","39","5","4-Seam Fastball","0","1","1","0","1","0","1","0","Infield shift","Standard","132","-0.037","0.428"
"FF","2021-09-29","90.7","1.65","5.79","Lowther, Zac",646240,675912,,"foul",,,,,"1","Rafael Devers singles on a line drive to left fielder Ryan McKenna.","R","L","L","BAL","BOS","S",,,"2","1",2021,"1.08","1.49","-0.83","3.49",,,,"0","6","Top",,,,,"600474",,,-8.609020266445896,-131.83239056788094,-3.0219202645722385,14.519489885201578,29.20397486999963,-14.365117658350046,"3.37","1.53","275","95.6","48","91.6","2334","7",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.53",,,,,,,,"39","4","4-Seam Fastball","0","1","1","0","1","0","1","0","Strategic","Standard","140","0","-0.066"
"CH","2021-09-29","84.8","1.64","5.77","Lowther, Zac",646240,675912,,"ball",,,,,"13","Rafael Devers singles on a line drive to left fielder Ryan McKenna.","R","L","L","BAL","BOS","B",,,"1","1",2021,"1.07","0.97","-2.41","1.00",,,,"0","6","Top",,,,,"600474",,,-11.726954912725986,-122.87132511440876,-6.781169599770928,13.17315512483183,24.574076753160103,-21.075643646861753,"3.29","1.48",,,,"85.6","2005","7.1",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.45",,,,,,,,"39","3","Changeup","0","1","1","0","1","0","1","0","Strategic","Standard","131","0","0.052"
"FF","2021-09-29","88.6","1.78","5.76","Lowther, Zac",646240,675912,,"ball",,,,,"12","Rafael Devers singles on a line drive to left fielder Ryan McKenna.","R","L","L","BAL","BOS","B",,,"0","1",2021,"1.2","1.27","1.69","3.77",,,,"0","6","Top",,,,,"600474",,,-2.750167816521567,-128.95708125525178,-1.4239326485889494,13.916013449617946,29.68504919546611,-18.01343158041847,"3.36","1.43",,,,"89.2","2350","6.9",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.62",,,,,,,,"39","2","4-Seam Fastball","0","1","1","0","1","0","1","0","Strategic","Standard","133","0","0.027"
"FF","2021-09-29","89.0","1.69","5.77","Lowther, Zac",646240,675912,,"foul",,,,,"5","Rafael Devers singles on a line drive to left fielder Ryan McKenna.","R","L","L","BAL","BOS","S",,,"0","0",2021,"1.19","1.41","-0.12","2.73",,,,"0","6","Top",,,,,"600474",,,-7.006483405697712,-129.29660650354737,-4.350143241509848,14.847328478698584,30.55607056424833,-15.686918537915627,"3.37","1.53","267","84.9","40","89.4","2308","7",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.55",,,,,,,,"39","1","4-Seam Fastball","0","1","1","0","1","0","1","0","Standard","Standard","140","0","-0.038"
"FF","2021-09-29","90.8","1.44","5.84","Lowther, Zac",592669,675912,"field_out","hit_into_play",,,,,"1","Hunter Renfroe flies out to center fielder Cedric Mullins.","R","R","L","BAL","BOS","X","8","fly_ball","2","2",2021,"0.99","1.41","-0.76","3.21",,"578428",,"2","5","Top",137.2,96.77,,,"600474",,,-7.696850864154906,-131.87557024182428,-3.6291332205442037,13.301186612852753,31.169402802036586,-15.241131411649969,"3.41","1.56","258","74.9","36","91","2252","6.7",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.76","0.197","0.183","0","1","0","0","3","35","5","4-Seam Fastball","0","1","1","0","1","0","1","0","Infield shift","Standard","139","0.037","-0.259"
"CH","2021-09-29","85.3","1.61","5.79","Lowther, Zac",592669,675912,,"blocked_ball",,,,,"13","Hunter Renfroe flies out to center fielder Cedric Mullins.","R","R","L","BAL","BOS","B",,,"1","2",2021,"1.44","1.04","-0.49","0.63",,"578428",,"2","5","Top",,,,,"600474",,,-7.908989719219063,-123.73267665745672,-7.884870680192789,16.380173595393313,27.355174368242718,-19.988814071080533,"3.57","1.67",,,,"85.6","2038","6.9",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.62",,,,,,,,"35","4","Changeup","0","1","1","0","1","0","1","0","Infield shift","Standard","131","0","0.045"
"FF","2021-09-29","89.9","1.79","5.74","Lowther, Zac",592669,675912,,"foul",,,,,"4","Hunter Renfroe flies out to center fielder Cedric Mullins.","R","R","L","BAL","BOS","S",,,"1","1",2021,"0.88","1.42","-0.41","2.75",,"578428",,"2","5","Top",,,,,"600474",,,-7.388550604788551,-130.58829068561093,-4.426050291470373,11.678633107201101,28.88889677248062,-15.220120326537119,"3.41","1.56","166","68.7","62","90.5","2227","6.9",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.65",,,,,,,,"35","3","4-Seam Fastball","0","1","1","0","1","0","1","0","Infield shift","Standard","135","0","-0.076"
"FF","2021-09-29","91.0","1.72","5.65","Lowther, Zac",592669,675912,,"called_strike",,,,,"1","Hunter Renfroe flies out to center fielder Cedric Mullins.","R","R","L","BAL","BOS","S",,,"1","0",2021,"1.03","1.46","-0.47","3.39",,"578428",,"2","5","Top",,,,,"600474",,,-7.813607056699406,-132.29168020531495,-2.886989580480307,13.82383600998587,29.523784819817354,-14.655044153239768,"3.56","1.61",,,,"92","2348","7",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.48",,,,,,,,"35","2","4-Seam Fastball","0","1","1","0","1","0","1","0","Infield shift","Standard","136","0","-0.053"
"CU","2021-09-29","76.4","1.84","5.64","Lowther, Zac",592669,675912,,"blocked_ball",,,,,"13","Hunter Renfroe flies out to center fielder Cedric Mullins.","R","R","L","BAL","BOS","B",,,"0","0",2021,"-1.34","-0.88","-1.22","0.99",,"578428",,"2","5","Top",,,,,"600474",,,-4.08450514529255,-110.98590799340884,-0.9272938924377413,-9.934125094577766,25.476923407850403,-39.352205015338946,"3.57","1.61",,,,"76.5","2704","7.1",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.38",,,,,,,,"35","1","Curveball","0","1","1","0","1","0","1","0","Infield shift","Standard","326","0","0.025"
